Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug,open_phase_debug,open_phase_vel_debug,open_Vd_debug,open_Vq_debug,alpha_debug,beta_debug,sectant_debug,cos_p_debug,sin_p_debug
196,0.982241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
197,0.987248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
198,0.992248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
199,0.997251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
200,1.002231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
201,1.007290,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
202,1.012242,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
203,1.017237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
204,1.022252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
205,1.027238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
206,1.032246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
207,1.037231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
208,1.042246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
209,1.047231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
210,1.052251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
211,1.057232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
212,1.062251,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
213,1.067232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
214,1.072252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
215,1.077232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
216,1.082254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
217,1.087234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
218,1.092257,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
219,1.097243,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
220,1.102249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
221,1.107235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
222,1.112252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
223,1.117237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
224,1.122266,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
225,1.127248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
226,1.132239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
227,1.137250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
228,1.142241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
229,1.147246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
230,1.152237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
231,1.157246,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
232,1.162239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
233,1.167303,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
234,1.172235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
235,1.177249,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
236,1.182241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
237,1.187256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
238,1.192235,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
239,1.197256,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
240,1.202234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
241,1.207258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
242,1.212237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
243,1.217252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
244,1.222252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
245,1.227284,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
246,1.232241,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
247,1.237239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
248,1.242252,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
249,1.247238,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
250,1.252253,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
251,1.257234,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
252,1.262250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
253,1.267232,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
254,1.272248,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
255,1.277230,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
256,1.282254,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
257,1.287239,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
258,1.292258,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
259,1.297231,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
260,1.302250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
261,1.307236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
262,1.312253,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
263,1.317236,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
264,1.322253,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
265,1.327237,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
266,1.332250,0,0,0,0,0,0,-0.430973589,0,0,0,0,0,0,0,0,0
