Index,Time,debug_PWM_A,debug_PWM_B,debug_PWM_C,debug_IA,debug_IB,debug_IC,pos_estimate_debug
3776,3.776680,0.531260431,0.514508009,0.468739569,-0.830841005,-2.87017822,3.70101929,-0.344736576
3777,3.777689,0.531431496,0.514587402,0.468568474,-1.46026611,-2.67379737,4.13406372,-0.34362331
3778,3.778684,0.531604052,0.514666915,0.4683972,-1.99401832,-2.28103638,4.27505493,-0.336172521
3779,3.779693,0.531693459,0.514708996,0.468306541,-2.40692139,-1.82281482,4.22973633,-0.333484262
3780,3.780675,0.531757355,0.514738619,0.468242645,-2.72415137,-1.44515979,4.12902784,-0.332340539
3781,3.781773,0.531770408,0.514744699,0.468229622,-2.87521338,-1.11785889,3.99307227,-0.332270265
3782,3.782589,0.531782866,0.514750481,0.468217134,-2.97088599,-0.966796756,3.93768263,-0.332474172
3783,3.783696,0.531820118,0.514767766,0.468179882,-3.0564878,-0.840911746,3.89739943,-0.333524168
3784,3.784679,0.531716764,0.514737904,0.468244255,-3.0665586,-0.825805664,3.89236426,-0.334705353
3785,3.785690,0.531670511,0.514698327,0.468329459,-3.0766294,-0.800628603,3.87725806,-0.335593641
3786,3.786674,0.531548262,0.514641583,0.468451738,-3.0564878,-0.795593143,3.85711622,-0.336446732
3787,3.787694,0.531475246,0.514607728,0.468524754,-3.0262754,-0.861053407,3.88732886,-0.336941272
3788,3.788677,0.531276584,0.514515519,0.468723416,-2.99102783,-0.89126581,3.8822937,-0.337435782
3789,3.789699,0.531126857,0.51444602,0.468873084,-2.94570899,-0.921478152,3.86718702,-0.337801456
3790,3.790682,0.530872822,0.514341831,0.469097704,-2.91046143,-0.946655154,3.8571167,-0.338035852
3791,3.791691,0.530665278,0.514231801,0.469334722,-2.87017822,-0.966796756,3.8369751,-0.338176459
3792,3.792689,0.530383646,0.514101088,0.469616324,-2.83996558,-0.956726015,3.79669142,-0.338218659
3793,3.793698,0.530077398,0.513958991,0.469922602,-2.81478858,-0.951690674,3.76647925,-0.338242143
3794,3.794681,0.529770315,0.513816476,0.470229685,-2.80471778,-0.926513612,3.73123145,-0.33834061
3795,3.795692,0.529485285,0.513684154,0.470514685,-2.77450538,-0.886230409,3.66073585,-0.338380486
3796,3.796675,0.528989315,0.513518572,0.470871568,-2.75939941,-0.871124148,3.63052368,-0.338558644
3797,3.797696,0.528648138,0.51329565,0.471351862,-2.71911597,-0.850982606,3.57009864,-0.338816494
3798,3.798678,0.528192222,0.513084054,0.471807808,-2.68890357,-0.835876405,3.51974463,-0.339064986
3799,3.799687,0.527736008,0.512872338,0.472264022,-2.63854957,-0.815734804,3.45428443,-0.339327514
3800,3.800683,0.527322233,0.512680292,0.472677767,-2.59826636,-0.800628603,3.39889503,-0.339552462
3801,3.801692,0.526841521,0.512457192,0.473158538,-2.55798316,-0.805664003,3.36364722,-0.339756399
3802,3.802783,0.526208639,0.51216346,0.473791361,-2.48748779,-0.785522401,3.27301025,-0.339971989
3803,3.803682,0.525677443,0.511916935,0.474322587,-2.43713355,-0.775451601,3.21258521,-0.340168923
3804,3.804694,0.525124431,0.511660278,0.474875569,-2.37167335,-0.775451601,3.15216041,-0.340300232
3805,3.805680,0.52456975,0.511402845,0.47543025,-2.28607154,-0.760345399,3.046417,-0.340410441
3806,3.806690,0.523954928,0.511117518,0.476045072,-2.22564673,-0.760345399,2.98599219,-0.340544075
3807,3.807672,0.523339272,0.510831773,0.476660699,-2.16018653,-0.745239198,2.90542579,-0.340539426
3808,3.808695,0.522505939,0.510445058,0.477314323,-2.09976196,-0.730133057,2.82989502,-0.340565234
3809,3.809678,0.521847129,0.510139287,0.478152901,-2.02423096,-0.709991395,2.73422241,-0.34054181
3810,3.810687,0.521169484,0.509824812,0.478830546,-1.95877051,-0.684814453,2.65869141,-0.340569943
3811,3.811683,0.520489872,0.509509385,0.479510158,-1.88827503,-0.659637392,2.54791236,-0.340598077
3812,3.812693,0.519775748,0.509177983,0.480224282,-1.81274402,-0.629424989,2.44216895,-0.34062621
3813,3.813716,0.518859029,0.508852661,0.480925232,-1.75231934,-0.604248047,2.35656738,-0.340661377
3814,3.814675,0.518107176,0.508491516,0.481703401,-1.67175281,-0.569000244,2.24075317,-0.34068951
3815,3.815700,0.517339528,0.508047283,0.482660472,-1.61636329,-0.553893983,2.17025733,-0.340696543
3816,3.816684,0.516569674,0.507690012,0.483430326,-1.5257262,-0.50857538,2.06954956,-0.340762168
3817,3.817694,0.515746593,0.507308006,0.484253377,-1.45523071,-0.463256806,1.91848755,-0.340790302
3818,3.818677,0.51493603,0.506931841,0.485064,-1.38473499,-0.433044404,1.81777942,-0.34088406
3819,3.819700,0.514134526,0.506559849,0.485865504,-1.3092041,-0.397796571,1.70700073,-0.340998918
3820,3.820683,0.513064682,0.506161273,0.486724317,-1.23367298,-0.367584199,1.60125721,-0.341111451
3821,3.821692,0.512223184,0.505672812,0.487776816,-1.15310657,-0.327301025,1.4804076,-0.341223985
3822,3.822676,0.511342406,0.505264044,0.488657594,-1.06246936,-0.297088593,1.37466431,-0.341329485
3823,3.823698,0.510478973,0.504863322,0.489521027,-0.991973877,-0.25176999,1.2437439,-0.341442019
3824,3.824722,0.509589493,0.5044505,0.490410507,-0.906372011,-0.216522202,1.12289417,-0.341620177
3825,3.825677,0.508706391,0.504040658,0.491293609,-0.830841005,-0.1913452,1.02218616,-0.341760844
3826,3.826691,0.50758791,0.503521562,0.492179841,-0.735168397,-0.166168213,0.90133661,-0.341929644
3827,3.827689,0.506674111,0.503097475,0.493325889,-0.649566591,-0.146026596,0.795593202,-0.342135936
3828,3.828684,0.505755603,0.502671182,0.494244397,-0.553893983,-0.115814202,0.694885254,-0.342370361
3829,3.829692,0.504840672,0.502246559,0.495159328,-0.478363007,-0.100708,0.579070985,-0.34250167
3830,3.830676,0.503916264,0.501817524,0.496083736,-0.397796571,-0.0856018066,0.483398378,-0.342815757
3831,3.831696,0.50298804,0.501386762,0.497011989,-0.312194794,-0.0704956055,0.3826904,-0.343171954
